a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.34,0.86,0.06,0.5,0.0,0.09,0.49,0.0,0.89,0.29,1.0,0.7,0.66,1.0,0.21,0.76,0
0.0,0.64,0.47,0.81,1.0,1.0,0.91,0.84,0.65,0.62,0.47,0.4,0.42,0.17,0.63,0.0,1
0.23,0.72,0.44,1.0,0.73,0.86,0.51,0.5,0.19,0.2,0.0,0.08,0.5,0.0,1.0,0.11,2
0.25,0.79,0.58,1.0,0.88,0.84,0.56,0.56,0.79,0.43,1.0,0.19,0.54,0.0,0.0,0.08,3
0.51,1.0,0.21,0.73,0.0,0.43,0.48,0.4,0.93,0.52,1.0,0.59,0.76,0.3,0.56,0.0,4
0.43,1.0,0.3,0.64,0.49,0.28,0.3,0.0,0.0,0.25,0.18,0.59,0.58,0.73,1.0,0.78,5
1.0,1.0,0.61,0.84,0.24,0.57,0.0,0.26,0.25,0.0,0.8,0.13,0.62,0.4,0.13,0.33,6
0.0,0.92,0.46,1.0,0.82,0.76,0.7,0.38,0.5,0.0,0.31,0.1,0.48,0.34,1.0,0.36,7
0.77,1.0,0.28,0.8,0.63,0.41,0.59,0.0,0.0,0.1,0.47,0.44,1.0,0.75,0.61,0.94,8
0.69,0.84,0.31,1.0,0.29,0.65,0.76,0.86,0.81,0.76,1.0,0.31,0.58,0.04,0.0,0.0,9
0.66,1.0,0.3,0.87,0.08,0.56,0.0,0.21,0.31,0.0,0.75,0.17,1.0,0.47,0.89,0.79,0
0.25,0.72,0.59,1.0,0.56,0.9,0.52,0.53,0.41,0.16,0.0,0.0,0.45,0.02,1.0,0.02,1
0.0,0.75,0.25,0.99,0.84,1.0,0.88,0.73,0.66,0.46,0.37,0.21,0.37,0.0,1.0,0.01,2
0.0,0.75,0.23,0.96,0.68,1.0,1.0,0.86,0.72,0.62,0.77,0.33,0.5,0.12,0.1,0.0,3
1.0,1.0,0.55,0.93,0.17,0.74,0.0,0.53,0.57,0.47,0.84,0.43,0.55,0.22,0.29,0.0,4
0.54,0.92,1.0,1.0,0.56,0.89,0.18,0.66,0.48,0.52,0.82,0.34,0.49,0.08,0.0,0.0,5
0.49,1.0,0.25,0.78,0.0,0.4,0.1,0.02,0.76,0.0,1.0,0.3,0.4,0.39,0.24,0.11,6
0.0,1.0,0.34,0.94,0.7,0.9,1.0,0.85,0.78,0.64,0.57,0.41,0.42,0.15,0.43,0.0,7
0.6,0.73,0.59,1.0,0.19,0.73,0.53,0.36,0.51,0.0,0.0,0.2,0.5,0.52,1.0,0.8,8
0.46,0.87,0.62,0.65,0.97,1.0,0.32,0.89,0.62,0.66,1.0,0.48,0.71,0.04,0.0,0.0,9
0.6,0.82,0.21,0.74,0.0,0.25,0.34,0.0,0.82,0.27,1.0,0.75,0.54,1.0,0.14,0.75,0
0.41,0.9,0.72,1.0,0.86,0.75,0.6,0.5,1.0,0.35,0.89,0.1,0.44,0.0,0.0,0.05,3
0.23,1.0,0.0,0.71,0.18,0.44,0.72,0.46,1.0,0.7,0.76,0.6,0.56,0.31,0.55,0.0,4
1.0,0.99,0.81,1.0,0.43,0.74,0.13,0.44,0.0,0.08,0.44,0.0,0.6,0.27,0.13,0.35,6
