a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.39,0.93,0.0,0.64,0.04,0.15,0.46,0.0,0.86,0.27,1.0,0.73,0.62,1.0,0.18,0.86,0
0.0,0.66,0.46,0.84,1.0,1.0,0.83,0.8,0.71,0.6,0.62,0.4,0.54,0.2,0.62,0.0,1
0.23,0.72,0.44,1.0,0.73,0.86,0.51,0.5,0.19,0.2,0.0,0.08,0.5,0.0,1.0,0.11,2
0.24,0.81,0.57,1.0,0.85,0.76,0.59,0.47,0.82,0.41,1.0,0.15,0.53,0.0,0.0,0.05,3
0.51,1.0,0.21,0.73,0.0,0.43,0.48,0.4,0.93,0.52,1.0,0.59,0.76,0.3,0.56,0.0,4
0.43,1.0,0.3,0.64,0.49,0.28,0.3,0.0,0.0,0.25,0.18,0.59,0.58,0.73,1.0,0.78,5
1.0,1.0,0.63,0.83,0.27,0.57,0.0,0.26,0.25,0.0,0.76,0.12,0.58,0.39,0.15,0.24,6
0.0,0.92,0.44,1.0,0.78,0.79,0.68,0.4,0.58,0.0,0.33,0.17,0.53,0.33,1.0,0.31,7
0.77,1.0,0.28,0.8,0.63,0.41,0.59,0.0,0.0,0.1,0.47,0.44,1.0,0.75,0.61,0.94,8
0.69,0.84,0.31,1.0,0.29,0.65,0.76,0.86,0.81,0.76,1.0,0.31,0.58,0.04,0.0,0.0,9
0.66,1.0,0.3,0.87,0.08,0.56,0.0,0.21,0.31,0.0,0.75,0.17,1.0,0.47,0.89,0.79,0
0.22,0.7,0.64,0.98,0.59,1.0,0.52,0.62,0.39,0.25,0.0,0.0,0.23,0.04,1.0,0.05,1
0.0,0.7,0.34,0.93,0.82,1.0,0.93,0.72,0.67,0.44,0.33,0.2,0.49,0.03,1.0,0.0,2
0.0,0.87,0.42,1.0,1.0,0.94,0.87,0.73,0.67,0.53,0.64,0.32,0.69,0.11,0.22,0.0,3
1.0,1.0,0.55,0.93,0.17,0.74,0.0,0.53,0.57,0.47,0.84,0.43,0.55,0.22,0.29,0.0,4
0.54,0.92,1.0,1.0,0.56,0.89,0.18,0.66,0.48,0.52,0.82,0.34,0.49,0.08,0.0,0.0,5
0.52,1.0,0.18,0.76,0.0,0.46,0.09,0.17,0.61,0.19,1.0,0.38,0.54,0.22,0.18,0.0,6
0.0,1.0,0.34,0.94,0.7,0.9,1.0,0.85,0.78,0.64,0.57,0.41,0.42,0.15,0.43,0.0,7
0.6,0.73,0.59,1.0,0.19,0.73,0.53,0.36,0.51,0.0,0.0,0.2,0.5,0.52,1.0,0.8,8
0.62,0.56,1.0,0.83,0.52,1.0,0.0,0.77,0.66,0.78,0.93,0.57,0.65,0.28,0.33,0.0,9
0.44,1.0,0.2,0.63,0.22,0.22,0.63,0.0,1.0,0.29,0.95,0.69,0.47,0.89,0.0,0.74,0
0.23,1.0,0.0,0.71,0.18,0.44,0.72,0.46,1.0,0.7,0.76,0.6,0.56,0.31,0.55,0.0,4
1.0,1.0,0.77,0.97,0.45,0.71,0.17,0.43,0.0,0.12,0.32,0.0,0.62,0.24,0.24,0.29,6
0.0,0.91,0.44,1.0,0.79,0.74,0.64,0.37,0.53,0.0,0.27,0.23,0.4,0.38,1.0,0.39,7
0.27,1.0,0.43,0.66,0.67,0.31,0.45,0.0,0.0,0.27,0.47,0.59,1.0,0.91,0.2,0.97,8
0.28,0.75,0.49,1.0,0.57,0.63,0.34,0.26,0.0,0.03,0.26,0.11,0.66,0.0,1.0,0.05,2
0.28,0.88,0.58,1.0,0.61,0.74,0.46,0.54,0.95,0.45,1.0,0.2,0.54,0.05,0.0,0.0,3
0.55,1.0,0.21,0.73,0.07,0.42,0.17,0.1,0.66,0.0,1.0,0.24,0.55,0.4,0.0,0.32,6
0.6,0.9,0.26,0.82,0.49,0.39,0.35,0.0,0.0,0.23,0.56,0.54,1.0,0.9,0.37,1.0,8
0.55,0.75,0.33,1.0,0.0,0.77,0.46,0.69,0.85,0.74,1.0,0.4,0.85,0.1,0.35,0.0,9
1.0,0.66,0.48,0.75,0.12,0.43,0.0,0.05,0.47,0.0,0.89,0.25,0.86,0.64,0.61,1.0,0
0.14,0.78,0.45,1.0,0.62,0.71,0.34,0.39,0.0,0.14,0.15,0.08,0.58,0.08,1.0,0.0,2
0.0,0.84,0.3,1.0,0.36,0.75,0.28,0.52,0.89,0.52,1.0,0.27,0.64,0.06,0.06,0.0,3
0.38,1.0,0.04,0.76,0.0,0.46,0.7,0.41,1.0,0.64,0.86,0.62,0.66,0.31,0.54,0.0,4
0.46,1.0,0.55,0.65,1.0,0.9,0.42,0.91,0.75,0.65,0.82,0.53,0.63,0.13,0.0,0.0,9
0.33,0.77,0.09,0.4,0.26,0.0,0.76,0.08,1.0,0.46,0.87,0.89,0.36,1.0,0.0,0.69,0
0.0,0.81,0.43,0.8,1.0,1.0,0.86,0.86,0.57,0.65,0.36,0.43,0.21,0.21,0.18,0.0,1
0.35,0.69,0.55,1.0,0.87,0.81,0.7,0.44,0.34,0.17,0.0,0.04,0.5,0.05,1.0,0.0,2
0.25,0.85,0.48,1.0,1.0,0.97,0.92,0.76,0.65,0.57,0.7,0.33,0.44,0.13,0.0,0.0,3
0.71,1.0,0.39,0.87,0.11,0.63,0.0,0.37,0.42,0.25,1.0,0.37,0.74,0.24,0.53,0.0,4
1.0,1.0,0.53,0.89,0.19,0.63,0.0,0.31,0.13,0.0,0.63,0.01,0.75,0.29,0.29,0.43,6
0.0,0.95,0.44,1.0,0.76,0.78,0.72,0.39,0.63,0.0,0.52,0.12,0.54,0.4,1.0,0.46,7
1.0,1.0,0.43,0.95,0.56,0.56,0.59,0.17,0.0,0.0,0.17,0.34,0.65,0.65,0.72,0.95,8
0.74,0.76,0.31,0.6,0.0,0.76,0.37,1.0,0.85,0.94,1.0,0.6,0.86,0.27,0.54,0.0,9
0.73,1.0,0.22,0.62,0.0,0.0,0.65,0.14,1.0,0.73,0.42,0.82,0.51,0.65,0.41,0.37,0
0.33,0.8,0.67,1.0,1.0,0.76,0.8,0.38,0.42,0.12,0.0,0.06,0.42,0.19,0.87,0.0,2
0.71,1.0,0.28,0.74,0.0,0.45,0.66,0.5,1.0,0.7,0.75,0.85,0.62,0.42,0.51,0.0,4
0.36,0.86,0.91,1.0,0.61,0.91,0.21,0.65,0.58,0.48,1.0,0.27,0.59,0.04,0.0,0.0,5
0.3,0.98,0.3,0.76,0.72,0.38,0.6,0.0,0.0,0.11,0.44,0.48,1.0,0.83,0.49,1.0,8
0.41,0.69,0.78,0.6,1.0,1.0,0.37,0.97,0.57,0.69,0.89,0.54,0.66,0.07,0.0,0.0,9
0.0,0.67,0.38,0.84,0.84,1.0,1.0,0.95,0.81,0.71,0.64,0.48,0.48,0.23,0.38,0.0,1
0.46,0.85,0.75,1.0,0.79,0.72,0.53,0.56,1.0,0.46,0.95,0.15,0.49,0.0,0.0,0.15,3
0.44,1.0,0.16,0.79,0.0,0.53,0.2,0.33,0.61,0.32,1.0,0.37,0.85,0.28,0.81,0.0,4
1.0,0.98,0.6,1.0,0.35,0.76,0.39,0.56,0.75,0.52,0.73,0.21,0.39,0.05,0.0,0.0,5
