a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.34,0.86,0.06,0.5,0.0,0.09,0.49,0.0,0.89,0.29,1.0,0.7,0.66,1.0,0.21,0.76,0
0.0,0.66,0.46,0.84,1.0,1.0,0.83,0.8,0.71,0.6,0.62,0.4,0.54,0.2,0.62,0.0,1
0.13,0.74,0.4,1.0,0.7,0.77,0.46,0.42,0.09,0.15,0.0,0.03,0.5,0.01,1.0,0.0,2
0.25,0.79,0.58,1.0,0.88,0.84,0.56,0.56,0.79,0.43,1.0,0.19,0.54,0.0,0.0,0.08,3
0.46,1.0,0.3,0.79,0.0,0.51,0.43,0.38,0.86,0.47,1.0,0.64,0.81,0.32,0.71,0.0,4
0.43,1.0,0.3,0.64,0.49,0.28,0.3,0.0,0.0,0.25,0.18,0.59,0.58,0.73,1.0,0.78,5
1.0,1.0,0.53,0.92,0.2,0.64,0.11,0.29,0.38,0.0,0.85,0.08,0.55,0.32,0.0,0.29,6
0.0,0.92,0.46,1.0,0.82,0.76,0.7,0.38,0.5,0.0,0.31,0.1,0.48,0.34,1.0,0.36,7
0.77,1.0,0.41,0.79,0.56,0.38,0.34,0.0,0.0,0.19,0.53,0.5,1.0,0.82,0.39,0.94,8
0.69,0.84,0.31,1.0,0.29,0.65,0.76,0.86,0.81,0.76,1.0,0.31,0.58,0.04,0.0,0.0,9
0.95,1.0,0.46,0.79,0.14,0.5,0.0,0.18,0.42,0.0,0.88,0.2,1.0,0.53,0.83,0.85,0
0.25,0.72,0.59,1.0,0.56,0.9,0.52,0.53,0.41,0.16,0.0,0.0,0.45,0.02,1.0,0.02,1
0.0,0.85,0.39,1.0,0.83,0.99,0.87,0.71,0.6,0.44,0.32,0.17,0.55,0.0,1.0,0.01,2
0.0,0.87,0.42,1.0,1.0,0.94,0.87,0.73,0.67,0.53,0.64,0.32,0.69,0.11,0.22,0.0,3
0.66,1.0,0.39,0.86,0.11,0.64,0.36,0.45,1.0,0.57,0.66,0.45,0.32,0.23,0.0,0.0,4
0.55,0.95,1.0,1.0,0.54,0.91,0.28,0.55,0.54,0.53,0.76,0.3,0.43,0.0,0.0,0.01,5
0.27,1.0,0.08,0.73,0.0,0.45,0.11,0.17,0.51,0.0,1.0,0.03,0.82,0.2,0.37,0.09,6
0.0,1.0,0.34,0.94,0.7,0.9,1.0,0.85,0.78,0.64,0.57,0.41,0.42,0.15,0.43,0.0,7
0.6,0.73,0.59,1.0,0.19,0.73,0.53,0.36,0.51,0.0,0.0,0.2,0.5,0.52,1.0,0.8,8
0.57,0.72,1.0,0.93,0.47,1.0,0.0,0.78,0.52,0.71,0.94,0.57,0.69,0.28,0.39,0.0,9
0.2,0.81,0.0,0.39,0.22,0.0,0.68,0.05,1.0,0.37,0.89,0.83,0.47,1.0,0.14,0.68,0
0.0,0.7,0.34,0.93,0.82,1.0,0.93,0.72,0.67,0.44,0.33,0.2,0.49,0.03,1.0,0.0,2
0.07,0.85,0.29,1.0,0.28,0.7,0.26,0.55,0.83,0.58,1.0,0.31,0.55,0.11,0.0,0.0,3
0.63,1.0,0.46,0.78,0.19,0.55,0.0,0.32,0.54,0.24,1.0,0.44,0.87,0.24,0.74,0.0,4
1.0,1.0,0.68,0.95,0.33,0.72,0.07,0.45,0.0,0.15,0.38,0.0,0.55,0.25,0.11,0.33,6
0.0,0.91,0.44,1.0,0.79,0.74,0.64,0.37,0.53,0.0,0.27,0.23,0.4,0.38,1.0,0.39,7
0.34,0.78,0.39,0.53,1.0,0.24,0.49,0.0,0.44,0.35,0.77,0.7,0.76,1.0,0.0,0.8,8
0.68,1.0,0.29,0.9,0.0,0.59,0.01,0.17,0.38,0.0,0.77,0.13,1.0,0.48,0.78,0.82,0
0.37,0.65,0.52,1.0,0.57,0.64,0.31,0.26,0.0,0.09,0.31,0.18,0.65,0.0,1.0,0.05,2
0.44,1.0,0.13,0.8,0.0,0.59,0.49,0.49,1.0,0.59,0.69,0.39,0.38,0.2,0.18,0.0,4
0.36,0.82,0.32,0.63,0.67,0.33,0.37,0.0,0.0,0.12,0.26,0.54,0.5,0.94,1.0,1.0,5
0.63,1.0,0.29,0.83,0.1,0.5,0.19,0.16,0.67,0.0,1.0,0.19,0.48,0.31,0.0,0.19,6
0.46,1.0,0.55,0.65,1.0,0.9,0.42,0.91,0.75,0.65,0.82,0.53,0.63,0.13,0.0,0.0,9
0.32,0.88,0.11,0.55,0.17,0.09,0.72,0.0,1.0,0.4,0.91,0.86,0.37,1.0,0.0,0.67,0
0.2,0.65,0.43,0.94,0.76,1.0,0.58,0.64,0.44,0.27,0.0,0.01,0.18,0.04,1.0,0.0,1
0.14,0.78,0.45,1.0,0.62,0.71,0.34,0.39,0.0,0.14,0.15,0.08,0.58,0.08,1.0,0.0,2
0.5,0.89,0.66,1.0,0.82,0.73,0.5,0.54,1.0,0.48,0.93,0.17,0.47,0.0,0.0,0.03,3
0.88,1.0,0.48,0.83,0.16,0.59,0.0,0.31,0.5,0.28,1.0,0.45,0.75,0.27,0.62,0.0,4
0.74,1.0,0.32,0.78,0.13,0.39,0.15,0.0,0.71,0.06,1.0,0.41,0.47,0.42,0.0,0.16,6
0.0,1.0,0.22,0.86,0.6,0.8,1.0,0.8,0.84,0.65,0.66,0.42,0.51,0.18,0.47,0.0,7
0.79,0.78,0.42,1.0,0.27,0.66,0.68,0.3,0.5,0.0,0.0,0.22,0.45,0.54,1.0,0.82,8
0.74,0.76,0.31,0.6,0.0,0.76,0.37,1.0,0.85,0.94,1.0,0.6,0.86,0.27,0.54,0.0,9
0.52,1.0,0.0,0.36,0.36,0.0,1.0,0.52,0.4,0.73,0.15,0.45,0.65,0.6,0.05,0.02,0
0.0,0.78,0.5,0.86,1.0,1.0,0.85,0.8,0.73,0.6,0.58,0.4,0.5,0.19,0.31,0.0,1
0.3,0.69,0.38,1.0,0.82,0.88,0.76,0.53,0.43,0.24,0.0,0.0,0.43,0.06,1.0,0.06,2
0.52,0.91,0.72,1.0,0.87,0.7,0.57,0.43,1.0,0.45,0.9,0.15,0.43,0.0,0.0,0.12,3
0.59,1.0,0.11,0.75,0.0,0.43,1.0,0.49,0.66,0.8,0.7,0.83,0.73,0.32,0.74,0.0,4
0.81,1.0,0.5,0.79,0.23,0.52,0.17,0.22,0.7,0.15,1.0,0.31,0.44,0.19,0.0,0.0,6
0.0,1.0,0.54,0.98,0.91,0.85,0.71,0.52,0.62,0.17,0.74,0.0,1.0,0.32,0.42,0.37,7
0.46,0.87,0.62,0.65,0.97,1.0,0.32,0.89,0.62,0.66,1.0,0.48,0.71,0.04,0.0,0.0,9
0.78,0.83,0.2,0.58,0.27,0.0,1.0,0.5,0.61,1.0,0.0,0.38,0.68,0.69,0.03,0.08,0
